iteration,fidelity,n_samples,metallicity,envelope_eff_alpha,sigma_bh,sigma_ns,y_cnp,y_cnp_err,y_raw,log_prop,bce
0.00000,0.00000,1000.00000,0.01833,56.45646,352.36237,789.29932,0.18789,0.02192,0.00200,0.65198,0.30491
0.00000,0.00000,1000.00000,0.02566,84.48448,190.21021,251.38138,0.17109,0.02192,0.00200,0.63552,0.25723
0.00000,0.00000,1000.00000,0.02392,20.32032,604.81482,338.76877,0.20448,0.02192,0.00200,0.67207,0.36347
0.00000,0.00000,1000.00000,0.02258,64.76476,567.91791,59.12913,0.17694,0.02192,0.00200,0.65087,0.28946
0.00000,0.00000,1000.00000,0.01468,73.27327,127.09710,916.49652,0.17476,0.02192,0.00200,0.64596,0.26742
0.00000,0.00000,1000.00000,0.02785,16.91692,832.02203,929.11914,0.21130,0.02192,0.00100,0.68790,0.39911
0.00000,0.00000,1000.00000,0.02464,27.42743,668.89893,170.79079,0.18901,0.02192,0.00200,0.66056,0.33091
0.00000,0.00000,1000.00000,0.02237,51.85185,618.40839,602.87286,0.20431,0.02192,0.00200,0.66775,0.34214
0.00000,0.00000,1000.00000,0.01324,40.44044,544.61462,191.18118,0.18654,0.02192,0.00100,0.65732,0.31829
0.00000,0.00000,1000.00000,0.02817,40.44044,225.16516,54.27427,0.16446,0.02192,0.00100,0.63681,0.25976
0.00000,0.00000,1000.00000,0.01120,99.19920,910.67065,937.85785,0.19876,0.02192,0.00500,0.68072,0.38834
0.00000,0.00000,1000.00000,0.02264,90.19019,397.02704,372.75275,0.17941,0.02192,0.00100,0.64404,0.27752
0.00000,0.00000,1000.00000,0.01447,75.37537,752.40240,784.44446,0.19588,0.02192,0.00100,0.67022,0.35337
0.00000,0.00000,1000.00000,0.01665,96.99699,767.93793,266.91693,0.16960,0.02192,0.00100,0.65560,0.31304
0.00000,0.00000,1000.00000,0.02796,85.58559,130.98099,321.29129,0.18884,0.02192,0.00300,0.64408,0.28046
0.00000,0.00000,1000.00000,0.01710,82.68269,35.82582,378.57858,0.14444,0.02192,0.00100,0.62889,0.22332
0.00000,0.00000,1000.00000,0.00504,40.24024,1000.00000,765.99597,0.20525,0.02192,0.01100,0.68150,0.38192
0.00000,0.00000,1000.00000,0.00055,8.10811,721.33136,86.31631,0.24648,0.02192,0.01900,0.69846,0.44146
0.00000,0.00000,1000.00000,0.02979,38.23824,813.57355,155.25525,0.19778,0.02192,0.00300,0.67160,0.36252
0.00000,0.00000,1000.00000,0.00671,59.35936,809.68970,99.90991,0.19296,0.02192,0.00900,0.66843,0.34884
0.00000,0.00000,1000.00000,0.01629,65.46546,574.71472,295.07507,0.18965,0.02192,0.00200,0.66251,0.33323
0.00000,0.00000,1000.00000,0.01776,28.42843,422.27228,554.32434,0.22579,0.02192,0.00300,0.67893,0.37981
0.00000,0.00000,1000.00000,0.00585,5.80581,727.15717,179.52953,0.20034,0.02192,0.00900,0.66388,0.33949
0.00000,0.00000,1000.00000,0.02853,8.20821,852.41241,468.87888,0.21979,0.02192,0.00200,0.68406,0.38756
0.00000,0.00000,1000.00000,0.00974,70.67067,352.36237,143.60361,0.18159,0.02192,0.00300,0.64661,0.28565
0.00000,0.00000,1000.00000,0.01902,68.56857,701.91193,345.56555,0.19755,0.02192,0.00300,0.67136,0.35347
0.00000,0.00000,1000.00000,0.01737,78.97898,889.30933,665.98596,0.18578,0.02192,0.00200,0.66915,0.35250
0.00000,0.00000,1000.00000,0.00139,48.24825,972.81281,168.84885,0.21357,0.02192,0.01600,0.68138,0.39161
0.00000,0.00000,1000.00000,0.01659,38.33834,391.20120,772.79279,0.20071,0.02192,0.00200,0.66015,0.33332
0.00000,0.00000,1000.00000,0.02198,97.39740,684.43445,66.89690,0.18362,0.02192,0.00200,0.66140,0.32030
0.00000,0.00000,1000.00000,0.01923,88.58858,628.11810,228.07808,0.17791,0.02192,0.00300,0.65497,0.30826
0.00000,0.00000,1000.00000,0.02267,71.57157,196.03604,890.28027,0.21249,0.02192,0.00100,0.66985,0.34297
0.00000,0.00000,1000.00000,0.01354,66.76677,50.39039,221.28128,0.16172,0.02192,0.00200,0.62748,0.23055
0.00000,0.00000,1000.00000,0.00231,77.07708,100.88088,191.18118,0.19948,0.02192,0.01800,0.65114,0.29273
0.00000,0.00000,1000.00000,0.02174,83.88388,570.83081,773.76379,0.19810,0.02192,0.00200,0.67365,0.35612
0.00000,0.00000,1000.00000,0.00336,1.30130,494.12411,505.77579,0.22676,0.02192,0.01800,0.67104,0.35872
0.00000,0.00000,1000.00000,0.00701,70.57057,246.52652,897.07709,0.19961,0.02192,0.01000,0.65734,0.31694
0.00000,0.00000,1000.00000,0.02841,66.46647,433.92392,204.77478,0.19036,0.02192,0.00200,0.65810,0.31480
0.00000,0.00000,1000.00000,0.02626,62.96296,868.91895,226.13614,0.19480,0.02192,0.00100,0.67414,0.37343
0.00000,0.00000,1000.00000,0.00935,89.18919,939.79980,605.78577,0.17350,0.02192,0.00500,0.66040,0.33563
0.00000,0.00000,1000.00000,0.01982,16.61662,88.25826,252.35236,0.19367,0.02192,0.00100,0.64802,0.29192
0.00000,0.00000,1000.00000,0.02889,61.76176,81.46146,531.02100,0.17128,0.02192,0.00200,0.64405,0.26573
0.00000,0.00000,1000.00000,0.00079,6.50651,598.98901,232.93294,0.23375,0.02192,0.02800,0.67463,0.37384
0.00000,0.00000,1000.00000,0.01129,86.88689,410.62061,777.64764,0.18380,0.02192,0.00300,0.65730,0.32000
0.00000,0.00000,1000.00000,0.02078,99.29930,955.33533,873.77380,0.18396,0.02192,0.00200,0.66946,0.35301
0.00000,0.00000,1000.00000,0.00836,19.91992,866.97699,481.50150,0.20696,0.02192,0.00500,0.67666,0.37477
0.00000,0.00000,1000.00000,0.02371,80.88088,835.90588,339.73975,0.18779,0.02192,0.00200,0.67071,0.35692
0.00000,0.00000,1000.00000,0.01815,13.11311,855.32532,549.46948,0.20790,0.02192,0.00300,0.68038,0.39435
0.00000,0.00000,1000.00000,0.01180,21.02102,294.10410,420.33032,0.21285,0.02192,0.00300,0.66549,0.34135
0.00000,0.00000,1000.00000,0.00522,73.57357,98.93894,437.80780,0.19514,0.02192,0.01000,0.65719,0.30310
0.00000,0.00000,1000.00000,0.01860,42.34234,80.49049,226.13614,0.19684,0.02192,0.00200,0.65142,0.29920
0.00000,0.00000,1000.00000,0.02057,25.42542,581.51154,124.18418,0.18626,0.02192,0.00200,0.65917,0.32241
0.00000,0.00000,1000.00000,0.00947,62.46246,138.74875,464.02402,0.18778,0.02192,0.00400,0.64806,0.28874
0.00000,0.00000,1000.00000,0.02907,77.47748,113.50350,854.35437,0.18069,0.02192,0.00100,0.64787,0.27453
0.00000,0.00000,1000.00000,0.02117,41.04104,160.11011,556.26630,0.20869,0.02192,0.00200,0.66148,0.32622
0.00000,0.00000,1000.00000,0.00396,60.16016,141.66167,578.59857,0.20284,0.02192,0.01600,0.65666,0.30663
0.00000,0.00000,1000.00000,0.01860,50.45045,798.03802,989.31934,0.20373,0.02192,0.00200,0.68542,0.40479
0.00000,0.00000,1000.00000,0.02710,39.23924,468.87888,331.97198,0.20194,0.02192,0.00100,0.67329,0.37386
0.00000,0.00000,1000.00000,0.02147,34.43443,41.65165,604.81482,0.14218,0.02192,0.00200,0.62437,0.21318
0.00000,0.00000,1000.00000,0.02473,50.85085,241.67168,661.13110,0.19569,0.02192,0.00100,0.65405,0.31067
0.00000,0.00000,1000.00000,0.02488,65.06506,210.60060,986.40643,0.19942,0.02192,0.00100,0.66242,0.31905
0.00000,0.00000,1000.00000,0.02288,99.59960,385.37537,970.87085,0.16274,0.02192,0.00100,0.64029,0.26737
0.00000,0.00000,1000.00000,0.01076,84.98499,577.62762,879.59961,0.18451,0.02192,0.00300,0.66827,0.34992
0.00000,0.00000,1000.00000,0.00309,8.10811,176.61662,990.29028,0.21224,0.02192,0.01600,0.65568,0.30168
0.00000,0.00000,1000.00000,0.00441,24.02402,275.65567,311.58157,0.23657,0.02192,0.01400,0.67134,0.36093
0.00000,0.00000,1000.00000,0.00318,4.00400,901.93195,597.04706,0.21319,0.02192,0.02200,0.67243,0.36595
0.00000,0.00000,1000.00000,0.00728,98.69870,535.87585,998.05804,0.18561,0.02192,0.01200,0.65966,0.32424
0.00000,0.00000,1000.00000,0.01665,4.60460,720.36035,85.34534,0.23596,0.02192,0.00200,0.70617,0.46126
0.00000,0.00000,1000.00000,0.02180,83.88388,243.61362,847.55756,0.19563,0.02192,0.00300,0.65899,0.31905
